Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Polaris work item link),Outward issue link (Polaris work item link),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Category),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Development),Custom field (Flagged),Custom field (Goals),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Review IDs and Descriptions for Quote AI against Regulatory Team Doc,ORBIS-929,20029,Task,To Do,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,High,,Juan Quispe,712020:8bed8d8d-8a55-42b7-b3c8-8062e9fcedef,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,25/Mar/26 7:15 AM,25/Mar/26 7:17 AM,25/Mar/26 7:15 AM,,,0,,,"The Regulatory team has made some additions to the document 

[https://orbiscompliancellc.sharepoint.com/sites/ORBISQuotes-AIQuoteTesting/Shared%20Documents/Forms/AllItems.aspx?viewid=4a13cf75%2Df096%2D496e%2D9a60%2D879039d10115&id=%2Fsites%2FORBISQuotes%2DAIQuoteTesting%2FShared%20Documents%2FAI%20Training%2F09%5F05%5F2025%5FTeaching%20the%20AI%20%2D%20General%20Table%20%281%29%2Exlsx&parent=%2Fsites%2FORBISQuotes%2DAIQuoteTesting%2FShared%20Documents%2FAI%20Training|https://orbiscompliancellc.sharepoint.com/sites/ORBISQuotes-AIQuoteTesting/Shared%20Documents/Forms/AllItems.aspx?viewid=4a13cf75%2Df096%2D496e%2D9a60%2D879039d10115&id=%2Fsites%2FORBISQuotes%2DAIQuoteTesting%2FShared%20Documents%2FAI%20Training%2F09%5F05%5F2025%5FTeaching%20the%20AI%20%2D%20General%20Table%20%281%29%2Exlsx&parent=%2Fsites%2FORBISQuotes%2DAIQuoteTesting%2FShared%20Documents%2FAI%20Training]

we need to make sure that the Quote AI system has updated IDs and descriptions for all the different tech types",,Kelly Garrett,,,,,712020:8a268cf9-d226-4616-8671-a4e74428371a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00a1u:,,,,,,13.0,,,,,,,,,,,,,To Do,25/Mar/26 7:15 AM
Website - The info collected for batteries is not visible in the create quote steps only are available when the quote is submited,ORBIS-928,20028,Bug,To Do,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,High,,Juan Quispe,712020:8bed8d8d-8a55-42b7-b3c8-8062e9fcedef,Diego Fernando Sivila Ramirez,712020:151d3eb9-68b3-4b17-9b7d-d28664e770a1,Diego Fernando Sivila Ramirez,712020:151d3eb9-68b3-4b17-9b7d-d28664e770a1,25/Mar/26 7:11 AM,25/Mar/26 7:36 AM,,,,0,,,"*Description:*

The technical specifications for batteries. In the following pages, the info is not visible: Review Product Details, Review Quote> Select Models & Technology Details> Battery Details.

But the information is displayed after the submission of the quote

*Requirements:*

* Valid Credentials
* Battery datasheet

[^a92.pdf]

*Steps:*

# Follow the quote creation steps until Review Product details, and review the Battery category for the model
# Continue with the steps until the Review Quote page
# Review the info about batteries in the battery section 
# Submit the quote and review the Summary Quote for the batteries

*Attachment:*

!Screenshot 2026-03-25 at 9.53.07 AM.png|width=922,alt=""Screenshot 2026-03-25 at 9.53.07 AM.png""!

!Screenshot 2026-03-25 at 9.54.16 AM.png|width=922,alt=""Screenshot 2026-03-25 at 9.54.16 AM.png""!



!Screenshot 2026-03-25 at 9.56.04 AM.png|width=922,alt=""Screenshot 2026-03-25 at 9.56.04 AM.png""!





*Actual Result:*

The technical specifications for batteries are available only after the submission

*Expected Result:*

The technical specifications should be available during all the process not only at the end",,Diego Fernando Sivila Ramirez,,,,,712020:151d3eb9-68b3-4b17-9b7d-d28664e770a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/Mar/26 7:36 AM;ug:2a5d71d3-4506-49f3-9064-3edf1e2ec9f1;Screenshot 2026-03-25 at 9.53.07 AM.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17806,25/Mar/26 7:36 AM;ug:2a5d71d3-4506-49f3-9064-3edf1e2ec9f1;Screenshot 2026-03-25 at 9.54.16 AM.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17805,25/Mar/26 7:36 AM;ug:2a5d71d3-4506-49f3-9064-3edf1e2ec9f1;Screenshot 2026-03-25 at 9.56.04 AM.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17804,25/Mar/26 7:36 AM;ug:2a5d71d3-4506-49f3-9064-3edf1e2ec9f1;a92.pdf;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00a1m:,ORBIS Sprint 9,,,,,,,,,,,,,,,14268,ORBIS-553,Quotation System,To Do,25/Mar/26 7:11 AM
MCB Manager User Role changes,ORBIS-927,20027,Task,To Do,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Medium,,elvys nilton mamani herbas,627bd786694943006f3538bf,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,25/Mar/26 7:07 AM,25/Mar/26 7:08 AM,25/Mar/26 7:07 AM,,,0,,,"A request in a normal flow is still a Manager 1, this manager is the only one that can make Modifications and extensions to one of its Completed requests

 

The requirement is that ANOTHER ""MANAGER 2"" can make its Modifications and Extensions to requests of ""MANAGER 1"".

 

It should be clarified that the Completed application of Manager 1 has a documentation code and every time a Modification, Extensions or Corrections is made, the Reference number and Certificate Number are updated based on the First. (they are consequential numbers regardless of MANAGER 1 or MANAGER 2)

 

The restrictions are.

 

Manager 2 should not have access to the information in the original application from Manager 1
Manager 1 should not have access to information from new GESTORA 2 applications

 

LONG-TERM SOLUTION
The solution is to modify backend code, add a column in the database, force a sharing from the database and restrictions for basic functions.

 



Perhaps in the furturo a module to share completed requests between managers. (only if necessary)",,Kelly Garrett,,,,,712020:8a268cf9-d226-4616-8671-a4e74428371a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00a1e:,ORBIS Sprint 9,,,,,5.0,,,,,,,,,,,,,To Do,25/Mar/26 7:07 AM
Website - The batteries info collected by Website is not sync with the OIS,ORBIS-926,20026,Bug,To Do,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Highest,,Juan Quispe,712020:8bed8d8d-8a55-42b7-b3c8-8062e9fcedef,Diego Fernando Sivila Ramirez,712020:151d3eb9-68b3-4b17-9b7d-d28664e770a1,Diego Fernando Sivila Ramirez,712020:151d3eb9-68b3-4b17-9b7d-d28664e770a1,25/Mar/26 6:44 AM,25/Mar/26 7:09 AM,25/Mar/26 7:12 AM,,,0,,,"*Description:*

The info collected for Batteries by the Website application does not arrive at the OIS application. The values for Type, Form, Chemical Composition, and Form of Importation are not synced in the OIS.

*Requirements:*

* Valid credentials
* Battery datasheet

[^a92.pdf]

*Steps:*

# Create a quote for the battery datasheet from the website
# Review the Product specifications for the quote created.

*Attachment:*

!Screenshot 2026-03-25 at 9.56.04 AM.png|width=922,alt=""Screenshot 2026-03-25 at 9.56.04 AM.png""!

!Screenshot 2026-03-25 at 10.04.03 AM.png|width=922,alt=""Screenshot 2026-03-25 at 10.04.03 AM.png""!



*Actual Result:*

The info collected is not synced with OIS

*Expected Result:*

The info collected should be synced properly with OIS",,Diego Fernando Sivila Ramirez,,,,,712020:151d3eb9-68b3-4b17-9b7d-d28664e770a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/Mar/26 7:09 AM;ug:2a5d71d3-4506-49f3-9064-3edf1e2ec9f1;Screenshot 2026-03-25 at 10.04.03 AM.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17801,25/Mar/26 7:09 AM;ug:2a5d71d3-4506-49f3-9064-3edf1e2ec9f1;Screenshot 2026-03-25 at 9.56.04 AM.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17802,25/Mar/26 7:09 AM;ug:2a5d71d3-4506-49f3-9064-3edf1e2ec9f1;a92.pdf;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00a16:,ORBIS Sprint 9,,,,,,,,,,,,,,,14268,ORBIS-553,Quotation System,To Do,25/Mar/26 6:44 AM
Make changes,ORBIS-925,20025,Subtask,In Progress,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Medium,,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,25/Mar/26 6:32 AM,25/Mar/26 10:42 AM,25/Mar/26 7:10 AM,,,0,,,"* Fields to Remove:

* Model Name, Model Name 2 → Remove

* Priority Level → Evaluate usage; if unused → Remove

* Template Type → Remove

* Finance Fields:

* Group all invoice-related and finance fields into a dedicated Finance section. Karen confirmed she’s comfortable with relocating them, as long as they remain interactive.

* Project Status Fields:

* Consider grouping fields like Latest Status, Comments, etc., into a Project Status section. This was suggested but not finalized.

* Customer Information:

* Revert to displaying the legacy component.",,Fernando Rodriguez,,,,,5f2ddfb0c1b9f4001cdc43c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00a0e:,ORBIS Sprint 9,,,,,5.0,,,,,,,,,,20018,ORBIS-921,New Changes in Engineering Projects Layout,In Progress,25/Mar/26 6:33 AM
Fix Integral Service in the Finance's Quotes,ORBIS-924,20023,Bug,Done,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Medium,Done,Ruben Orellana Gutierrez,712020:56472b32-05f9-4cf4-8890-dfc424324468,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,25/Mar/26 6:02 AM,25/Mar/26 6:09 AM,,25/Mar/26 6:09 AM,,0,,,"Fix Integral Service in the Finance’s Quotes.
This section should only be displayed for clients in Mexico.

!image-20260325-130243.png|width=409,alt=""image-20260325-130243.png""!

AC:

* Verify if the client is from Mexcio
* Remove the Integral Service information for all quotes that do not apply",,Saul Mamani,,,,,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/Mar/26 6:06 AM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;image-20260325-130243.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00a0y:,ORBIS Sprint 9,,,,,3.0,,,,,,,,,,14268,ORBIS-553,Quotation System,Done,25/Mar/26 6:09 AM
Deploy to PROD,ORBIS-923,20022,Subtask,To Do,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Medium,,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,25/Mar/26 5:54 AM,25/Mar/26 10:42 AM,,,,0,,,"Deploy the finalized changes to PROD only after:

* All changes are complete.

* No further critical adjustments are pending, and Formal approval is granted.",,Saul Mamani,,,,,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00a0q:,ORBIS Sprint 9,,,,,,,,,,,,,,,20018,ORBIS-921,New Changes in Engineering Projects Layout,To Do,25/Mar/26 5:54 AM
Pass & Apply Changes in Sandbox DEV,ORBIS-922,20020,Subtask,To Do,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Medium,,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,25/Mar/26 5:52 AM,25/Mar/26 10:41 AM,,,,0,,,"Reproduce the updated layout in sandbox DEV to validate the changes with other user profiles. Since DEV more closely mirrors PROD than DEV24, we’ll preserve the legacy project design for non-Operations/PMM roles (e.g., Logistics, Finance), while applying the new layout only to Operations and PMM profiles.",,Saul Mamani,,,,,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00a0i:,ORBIS Sprint 9,,,,,,,,,,,,,,,20018,ORBIS-921,New Changes in Engineering Projects Layout,To Do,25/Mar/26 5:52 AM
New Changes in Engineering Projects Layout,ORBIS-921,20018,Task,In Progress,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Medium,,Fernando Rodriguez,5f2ddfb0c1b9f4001cdc43c3,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,Saul Mamani,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,25/Mar/26 5:50 AM,25/Mar/26 6:31 AM,25/Mar/26 7:09 AM,,,0,,,"Following today’s meeting with Mrs. Perrier and Karen Beltran, we need to implement layout updates to the engineering projects interface. These changes must first be applied in the sandbox DEV24 environment.

!image-20260325-125532.png|width=409,alt=""image-20260325-125532.png""!

Gilmar comments:

!image-20260325-125605.png|width=409,alt=""image-20260325-125605.png""!",,Saul Mamani,,,,,712020:1221cfec-034b-400d-9d4f-3d10e690f80a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/Mar/26 5:56 AM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;image-20260325-125532.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17765,25/Mar/26 5:56 AM;712020:1221cfec-034b-400d-9d4f-3d10e690f80a;image-20260325-125605.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00a0a:,ORBIS Sprint 9,,,,,8.0,,,,,,,,,,12336,ORBIS-146,Programs Project,In Progress,25/Mar/26 6:31 AM
Website - The 'Form Factor' of the batteries is not recognized/filled by AI,ORBIS-920,19985,Bug,In Progress,ORBIS,ORBIS-PLATFORM,software,Kelly Garrett,712020:8a268cf9-d226-4616-8671-a4e74428371a,,Medium,,Juan Quispe,712020:8bed8d8d-8a55-42b7-b3c8-8062e9fcedef,Diego Fernando Sivila Ramirez,712020:151d3eb9-68b3-4b17-9b7d-d28664e770a1,Diego Fernando Sivila Ramirez,712020:151d3eb9-68b3-4b17-9b7d-d28664e770a1,24/Mar/26 12:58 PM,24/Mar/26 1:56 PM,25/Mar/26 7:15 AM,,,0,,,"*Description:*

The form factor (battery size) is not recognized by the AI when analyzing a battery datasheet. But when the Quote Summary is reviewed, the info is properly displayed.

*Requirements:*

* Valid credentials
* Batteries datasheets
* [^a92.pdf] [^edl4ac - Pack.pdf] [^1250.pdf] 

*Steps:*

# Log in to the application
# Upload the datasheet
# Select a Market type and countries
# Click on the Continue to Processing button
# Click on the Next Step button. The battery category should be marked
# Click on the Next button
# Click on the Click to configure link in the battery category

*Attachment:*

!Screenshot 2026-03-24 at 4.02.39 PM.png|width=871,alt=""Screenshot 2026-03-24 at 4.02.39 PM.png""!

!Screenshot 2026-03-24 at 4.01.52 PM.png|width=922,alt=""Screenshot 2026-03-24 at 4.01.52 PM.png""!

!Screenshot 2026-03-24 at 4.51.25 PM.png|width=922,alt=""Screenshot 2026-03-24 at 4.51.25 PM.png""!



*Actual Result:*

The form factor is not filled

*Expected Result:*

The form factor should be filled in the form",,Diego Fernando Sivila Ramirez,,,,,712020:151d3eb9-68b3-4b17-9b7d-d28664e770a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/Mar/26 1:08 PM;ug:2a5d71d3-4506-49f3-9064-3edf1e2ec9f1;1250.pdf;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17729,24/Mar/26 1:08 PM;ug:2a5d71d3-4506-49f3-9064-3edf1e2ec9f1;Screenshot 2026-03-24 at 4.01.52 PM.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17730,24/Mar/26 1:08 PM;ug:2a5d71d3-4506-49f3-9064-3edf1e2ec9f1;Screenshot 2026-03-24 at 4.02.39 PM.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17728,24/Mar/26 1:52 PM;ug:2a5d71d3-4506-49f3-9064-3edf1e2ec9f1;Screenshot 2026-03-24 at 4.51.25 PM.png;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17732,24/Mar/26 1:08 PM;ug:2a5d71d3-4506-49f3-9064-3edf1e2ec9f1;a92.pdf;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17727,24/Mar/26 1:08 PM;ug:2a5d71d3-4506-49f3-9064-3edf1e2ec9f1;edl4ac - Pack.pdf;https://mexicocertifyingbody.atlassian.net/rest/api/3/attachment/content/17731,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00a02:,ORBIS Sprint 9,,,,,,,,,,,,,,,14268,ORBIS-553,Quotation System,In Progress,24/Mar/26 1:56 PM
